title,id,Meta : links,type:type,type:domaine,meta:short,content,thumbnail
France Archives,7,https://www.wikidata.org/wiki/Q51045276,outil,juridique,Portail national des archives,FranceArchives a pour mission d’orienter l’internaute pour qu’il puisse consulter les informations ou les documents d'archives qui l’intéressent et qui sont conservés dans les différents services d'archives.,outil.png
Décret relatif aux données ouvertes,14,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000042055251,outil,juridique,Décret du 29 juin 2020,Décret traitant de la mise à disposition de données ouvertes relatives aux décisions juridiques et administratives.,outil.png
Loi « pour une république numérique »,17,https://www.wikidata.org/wiki/Q22249127,outil,juridique,Loi du 7 octobre 2016 ,"L'article 30 de la loi "" pour une république numérique "" définie les conditions d'ouverture de l’accès aux données publiques. ",outil.png
CADA,22,https://fr.wikipedia.org/wiki/Commission_d%27acc%C3%A8s_aux_documents_administratifs,organisme_public,juridique,Commission d'Accès aux Documents Administratifs,CADA est un autorité administrative indépendante. Elle contrôle l’accès des particuliers aux documents administratifs et émet des conseils et avis. Depuis 2005 elle dispose aussi de nouvelles compétences en matière de réutilisation des données publiques.,organisme_public.png
CNIL,25,https://www.wikidata.org/wiki/Q1115586,organisme_public,juridique,Commission nationale de l'informatique et des libertés,La Commission Nationale de l'Informatique et des Libertés (CNIL) est le régulateur des données personnelles. Elle accompagne les professionnels dans leur mise en conformité et aide les particuliers à maîtriser leurs données personnelles et exercer leurs droits.,organisme_public.png
Creative Commons,26,https://www.wikidata.org/wiki/Q43449,outil,juridique,Licence libre de droits,"Le creative communs, licence libre ou ouverte, s'applique à une oeuvre de l'esprit par laquelle l'auteur concède certains des droits que lui offre le droit d'auteur quant à l'utilisation, la modification, la rediffusion, et la réutilisation de l'oeuvre dans des oeuvres dérivées.",outil.png
Parme Avocats,34,https://www.parme-avocats.com,organisme_prive,juridique,Cabinet d'avocats,"Membre fondateur de Data Publica, intervient sur l’ensemble du Droit Public et Privé des affaires, expertise spécifique dans le domaine de la ville intelligente et plus précisément de créer une spécialisation en droit des données publiques.",organisme_prive.png
Légifrance ,35,https://www.wikidata.org/wiki/Q653899,outil,juridique,Site gouvernemental,Légifrance est le site internet officiel du gouvernement français pour la diffusion des textes législatifs et réglementaires et des décisions de justice des cours suprêmes et d'appel de droit français. ,outil.png
Guide pratique CADA/CNIL,36,https://www.cnil.fr/sites/default/files/atoms/files/guide_open_data.pdf,outil,juridique,Guide présentant le cadre juridique de l'ouverture des données,"À la suite de la consultation publique qui s’est tenue au printemps 2019, la CADA et la CNIL, en partenariat avec les services d’Etalab, ont finalisé un guide pratique de la publication en ligne et de la réutilisation des données publiques. Ce guide est composé d’une présentation du cadre juridique et d’une fiche pratique sur l’anonymisation.",outil.png
ANSSI,48,https://www.wikidata.org/wiki/Q392502,organisme_public,juridique,ANSSI est l'autorité nationale en matère de sécurité et de défense des systèmes d'information,"L'Agence nationale de la sécurité des systèmes d'information. Elle apporte son expertise et son assistance technique aux administrations et aux entreprises avec une mission renforcée au profit des opérateurs d'importance vitale (OIV). Elle assure un service de veille, de détection, d'alerte et de réaction aux attaques informatiques.",organisme_public.png
